date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:59:07	264/264	---MCZ	200	added ('OK')	text/plain	date:Wed,%2024%20Aug%202016%2007:29:07%20GMT	http://www.dilseeducationfoundation.org/robots.txt		(from )
12:59:08	338445/338445	---M-Z	200	added ('OK')	text/html	etag:W/%22b5be7293449151a3d97dc6cc5d3746da%22	http://www.dilseeducationfoundation.org/	D:/DilSe/DilSeFoundation/www.dilseeducationfoundation.org/index.html	(from )
12:59:09	1376/1376	---M--	200	added ('OK')	image/png	etag:W/%22c3ce8c992a9b29b0f98cc17c40af4437%22	http://www.dilseeducationfoundation.org/favicon.ico	D:/DilSe/DilSeFoundation/www.dilseeducationfoundation.org/favicon.png	(from http://www.dilseeducationfoundation.org/)
12:59:10	27528/27528	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2024%20Aug%202016%2007:29:10%20GMT	http://use.typekit.net/ik/w4SYt7Hva4RF8R9DuGY0DSQiM5Xo6eub8CnmmvgjzZCfenI2fFHN4UJLFRbh52jhWD9hwcJXZQMuZQsKw24cwQMaZQIDFDB8Zy7vMPG0Ze8CSh9lZAsujhBX-AN0OQsXF260SaBujW48Sagyjh90jhNlOesTdYF8OAmqiAFyie8zdKXXi2btO1FUiABkZWF3jAF8OcFzdPUq-AUDZAmqiAFyie8zdcZziAoqjWsTdht0da41OeUzjhBC-eNDifUaiaS0Ze8CSh9lZAsujhBX-AN0OQsXF260SaBujW48Sagyjh90jhNlOYiaikoq-AUDZAmqiAFyie8zdcZziAoqjWsTdht0da41J68ciWsuScIlSYbKgcmuScN3jPG4fJZmIMMjMkMfH6qJ6u9bMg6FJMJ7fbKImsMMeMb6MKG4fJmmIMMj2KMfH6qJxubbMg6BJMJ7fbKMmsMMeMv6MKG4fJBmIMMjgkMfH6qJ689bMg6sJMJ7fbKYmsMMeM66MKG4fJymIMMjIKMfH6qJ7WqbMs62JMJ7f6RRy6IbMs6FJMJ7fbK7psMgeMb6MKGHf5PeMsMgeMt6MKG4fHyoIMIjgkMfH6GJojjgIMIjIPMfqMeBo4fNgb.js	D:/DilSe/DilSeFoundation/use.typekit.net/ik/w4SYt7Hva4RF8R9DuGY0DSQiM5Xo6eub8CnmmvgjzZCfenI2fFHN4UJLFRbh52jhWD9hwcJXZQMuZQsKw24cwQMaZQIDFDB8Zy7vMPG0Ze8CSh9lZAsujhBX-AN0OQsXF260SaBujW48Sagyjh90jhNlOesTdYF8OAmqiAFyie8zdKXXi2btO1FUiABkZWF3	(from http://www.dilseeducationfoundation.org/)
12:59:10	757/757	---M--	200	added ('OK')	application/rss+xml	etag:W/%227d1376f3f31d117a7f2f62a4bf444481%22	http://www.dilseeducationfoundation.org/about?format=RSS	D:/DilSe/DilSeFoundation/www.dilseeducationfoundation.org/aboutcecb	(from http://www.dilseeducationfoundation.org/)
12:59:11	599659/599659	---M-Z	200	added ('OK')	text/css	etag:W/%2255d216a90d658c71b5013e838e7214f3-gzip%22	http://static1.squarespace.com/static/sitecss/562b4e05e4b02f107e1371ef/11/52a74dafe4b073a80cd253c5/562c6f6be4b094a157a18326/962-05142015/1470380036650/site.css?&filterFeatures=false	D:/DilSe/DilSeFoundation/static1.squarespace.com/static/sitecss/562b4e05e4b02f107e1371ef/11/52a74dafe4b073a80cd253c5/562c6f6be4b094a157a18326/962-05142015/1470380036650/site8696.css	(from http://www.dilseeducationfoundation.org/)
12:59:13	3768/3768	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2024%20Aug%202016%2007:29:13%20GMT	http://platform.linkedin.com/in.js	D:/DilSe/DilSeFoundation/platform.linkedin.com/in.js	(from http://www.dilseeducationfoundation.org/)
12:59:13	46599/46599	---MCZ	200	added ('OK')	text/html	etag:W/%2229b2c52d0e62f2e9f92b0b74ef3b53bf-gzip%22	http://www.dilseeducationfoundation.org/ways-to-give	D:/DilSe/DilSeFoundation/www.dilseeducationfoundation.org/ways-to-give.html	(from http://www.dilseeducationfoundation.org/)
12:59:14	44895/44895	---MCZ	200	added ('OK')	text/html	etag:W/%22490412fa385caf44fc32002e3adec7bf-gzip%22	http://www.dilseeducationfoundation.org/getinvolved/	D:/DilSe/DilSeFoundation/www.dilseeducationfoundation.org/getinvolved/index.html	(from http://www.dilseeducationfoundation.org/)
12:59:14	74595/74595	---MCZ	200	added ('OK')	text/html	etag:W/%22bd72fd853ecf83dcf3b676e9c6400f1a-gzip%22	http://www.dilseeducationfoundation.org/press-releases/	D:/DilSe/DilSeFoundation/www.dilseeducationfoundation.org/press-releases/index.html	(from http://www.dilseeducationfoundation.org/)
